bedrooms,bathrooms,floors,view,grade,sqft_above,lat,price,zipcode_mean,sqft_total
3,1.75,1.0,0,7,1250,47.6796,450000,619944.1492281304,970
3,2.5,1.0,2,9,2165,47.4041,1350000,489382.0170940171,3268
3,1.0,1.0,0,7,1190,47.4258,228000,284908.5964912281,1190
5,2.5,1.0,0,8,1640,47.4934,345000,420895.47536945814,3500
3,1.75,1.0,0,7,1000,47.6808,600000,576834.808318264,1820
2,1.75,1.0,0,7,990,47.6989,585000,576834.808318264,2470
5,2.25,1.5,0,8,2130,47.6571,920000,863228.9432314411,3330
4,2.5,2.0,0,9,2830,47.6597,885000,863228.9432314411,1950
4,2.5,2.0,0,7,2250,47.3663,292500,311580.33638025593,2250
3,2.5,2.0,0,8,2420,47.3663,301000,311580.33638025593,2690
5,3.25,2.0,4,8,3250,47.588,951000,645628.2261484099,2960
4,3.0,2.0,0,8,1850,47.5059,430000,493625.3098290598,2270
3,2.25,1.0,3,8,1590,47.4336,650000,464322.38976377953,3130
3,1.75,1.0,0,7,1260,47.4366,289000,284908.5964912281,1290
3,1.75,2.0,0,8,2519,47.4428,505000,464322.38976377953,2500
3,1.75,3.0,0,8,1540,47.6765,549000,619944.1492281304,1580
3,2.25,1.0,0,7,1110,47.6113,425000,634558.1448275862,1990
3,2.75,1.5,0,7,1770,47.5747,317625,594706.5422740525,2440
4,2.5,2.0,0,10,2720,47.5815,975000,1356523.9905362776,2750
4,2.5,2.0,0,7,2240,47.3378,287000,281194.8698060942,2221
3,1.0,1.0,0,7,1000,47.3621,204000,311580.33638025593,1010
5,2.25,1.0,0,8,1600,47.6303,1330000,1356523.9905362776,4990
5,3.25,1.0,0,11,3070,47.6525,1040000,810289.6964285715,5230
3,2.0,1.0,0,7,1260,47.7362,325000,521740.0146788991,1640
4,2.0,1.5,0,7,2250,47.7168,571000,469928.76772616134,2010
4,2.5,2.0,0,8,2380,47.3608,360000,367091.48387096776,2420
3,1.75,1.0,0,7,1090,47.3511,349000,311580.33638025593,2640
4,4.0,2.0,0,10,2390,47.5822,832500,790734.704735376,4280
4,1.75,1.0,0,7,880,47.6034,380000,645628.2261484099,2560
3,1.0,1.0,0,7,1040,47.5636,480000,618695.1090909091,890
3,1.0,1.0,0,7,910,47.7073,410000,387011.5902636917,1630
4,2.5,2.0,0,10,3450,47.342,720000,423665.99,3350
3,2.5,2.0,0,8,2350,47.3512,390000,367091.48387096776,2350
4,2.5,2.0,0,7,1900,47.349,360000,367091.48387096776,1870
2,1.0,1.0,0,7,1010,47.5474,355000,418019.36094674555,2730
3,1.5,1.0,0,8,1680,47.4811,356000,493625.3098290598,1850
3,1.0,1.0,0,6,960,47.7264,315000,469928.76772616134,1570
3,1.5,2.0,0,9,1900,47.6337,940000,849714.8097826086,2260
5,2.25,1.5,0,7,2660,47.2909,305000,334921.0626780627,1590
3,3.25,2.0,0,9,1980,47.5228,461000,420895.47536945814,2690
2,2.25,2.0,0,7,1610,47.518,215000,420895.47536945814,1950
2,1.75,2.0,0,7,765,47.5394,335000,551768.5209125475,1295
4,2.5,2.0,0,7,1980,47.2897,243500,286742.81162324647,1980
5,2.75,2.0,0,10,3520,47.6506,1100000,792187.8738170346,2520
3,1.0,1.0,0,7,1200,47.322,153000,286742.81162324647,1350
3,1.5,1.0,0,8,1290,47.687,430000,576834.808318264,1860
3,1.5,1.0,0,8,1290,47.687,700000,576834.808318264,1860
4,2.5,1.0,0,7,2390,47.5873,905000,1194873.6382978724,2860
3,1.75,1.0,0,7,1960,47.3576,247500,251296.24,1750
4,1.5,1.0,0,7,1160,47.3036,199000,286742.81162324647,1160
3,1.75,1.0,0,7,1210,47.4109,314000,367091.48387096776,2250
3,2.5,2.0,2,9,2320,47.4838,437500,440232.31363636366,2550
3,2.5,1.5,0,9,1270,47.6415,850830,899607.6730769231,3000
3,2.0,1.5,0,7,1440,47.6775,555000,576834.808318264,2150
3,2.25,2.0,0,8,2190,47.7731,699950,682885.9898989899,2570
3,2.5,2.0,0,8,2920,47.5814,1090000,1356523.9905362776,2370
3,1.0,1.0,0,7,1210,47.4375,290000,353619.07472527475,1640
3,2.5,1.0,0,8,1460,47.4431,375000,353619.07472527475,3130
3,1.0,1.5,0,7,1170,47.6878,460000,576834.808318264,1740
2,1.75,1.0,0,8,1240,47.3813,188500,302896.7392857143,1270
4,2.5,2.0,0,10,3140,47.7304,680000,682885.9898989899,2990
5,1.75,2.0,0,7,2030,47.6417,470000,645244.2264808363,2500
4,2.5,2.0,0,8,2310,47.5386,597750,617053.9660194175,1940
3,1.75,1.0,0,6,700,47.6823,570000,585048.7790697674,1940
3,1.75,1.0,0,7,1160,47.3624,272500,367091.48387096776,1920
3,1.75,1.0,2,7,1080,47.5474,329950,355678.51612903224,3090
4,2.5,2.0,3,9,2520,47.3183,480000,281194.8698060942,3350
3,3.5,2.0,0,8,2780,47.6981,740500,576834.808318264,3430
3,3.5,3.0,0,8,1590,47.6824,518500,585048.7790697674,1620
2,1.0,1.0,0,6,880,47.5009,205425,310612.75572519086,1190
4,2.0,1.0,0,6,1570,47.4965,171800,240328.3717472119,1880
4,1.0,1.5,0,7,1610,47.587,535000,594706.5422740525,1610
3,2.5,1.0,2,8,1560,47.7728,660000,676419.3921568628,3180
3,2.0,1.0,0,7,1450,47.7288,391500,521740.0146788991,1580
2,1.0,1.0,0,6,770,47.6999,395000,576834.808318264,1710
4,1.75,1.5,0,7,1720,47.5299,445000,418019.36094674555,2230
3,2.25,2.0,0,9,2910,47.6897,770000,645244.2264808363,2700
4,2.75,1.5,0,8,1980,47.6141,1450000,1356523.9905362776,3830
3,2.25,1.0,2,8,1620,47.5091,445000,310612.75572519086,3140
4,2.25,1.0,0,8,1360,47.3129,260000,286742.81162324647,2890
5,3.5,2.0,0,7,1720,47.6763,822500,585048.7790697674,2300
4,2.5,2.0,0,7,2070,47.5319,430000,529629.7824675324,1970
3,1.75,1.0,0,7,1060,47.2761,212000,334921.0626780627,1420
4,2.25,1.0,0,8,1440,47.5343,660500,617053.9660194175,2630
3,3.5,1.5,0,9,2460,47.697,784000,645244.2264808363,3970
3,2.5,2.0,0,8,1390,47.5517,453246,612642.738317757,2310
4,3.5,3.0,0,9,2140,47.6734,675000,579109.8082706766,1540
3,1.75,1.0,0,7,1320,47.3257,199000,294111.27857142856,1550
4,1.75,1.0,0,7,1010,47.3309,220000,294111.27857142856,2760
4,2.25,1.0,0,8,1340,47.7689,452000,462488.8692579505,2800
2,1.0,1.0,0,6,1190,47.7135,382500,469928.76772616134,1060
3,2.25,3.0,0,8,1170,47.6722,519950,579109.8082706766,1350
2,1.0,1.0,0,7,1110,47.6338,665000,849714.8097826086,1170
5,2.5,1.0,0,8,1550,47.5707,527700,859938.5542168674,4090
3,1.0,1.0,0,7,1010,47.4563,205000,353619.07472527475,2210
3,1.0,1.0,0,7,940,47.7144,420000,387011.5902636917,1680
4,2.25,1.0,0,8,1380,47.5495,500000,859938.5542168674,2880
4,2.5,2.0,0,9,3670,47.7421,921500,682885.9898989899,2840
4,1.0,2.0,0,8,2370,47.6354,890000,880077.752293578,2380
2,2.5,2.0,0,7,2420,47.5262,430000,617053.9660194175,1940
5,2.0,1.0,0,8,1130,47.3887,258000,251296.24,2490
3,1.0,1.0,0,7,980,47.6873,511000,585048.7790697674,1900
3,2.0,2.0,0,8,1360,47.6838,532170,585048.7790697674,1500
3,1.0,1.5,0,7,1110,47.655,560000,579109.8082706766,1420
3,1.0,1.0,0,7,1250,47.3255,282950,294111.27857142856,1680
4,3.25,2.0,3,12,3540,47.562,2250000,859938.5542168674,4800
1,1.0,1.0,0,7,700,47.679,350000,619944.1492281304,1010
3,1.0,1.0,0,7,1180,47.4479,215000,353619.07472527475,1190
5,3.5,2.0,0,9,2500,47.525,650000,420895.47536945814,4100
4,2.75,1.0,0,8,1620,47.3135,320000,286742.81162324647,3000
3,2.0,1.5,0,7,1270,47.2086,247000,316742.3905579399,1160
4,1.75,1.0,0,8,1760,47.4715,320000,493625.3098290598,1730
5,2.25,1.0,0,7,1030,47.4877,255000,359496.2604166667,2040
3,1.75,1.0,0,7,1780,47.7171,438000,521740.0146788991,1200
3,2.5,2.0,0,10,3400,47.6012,900000,790734.704735376,3400
3,2.75,1.0,0,7,1160,47.7319,441000,521740.0146788991,2460
3,2.0,1.0,0,7,1010,47.4582,420000,617053.9660194175,3120
3,1.75,1.0,0,7,1180,47.7209,370000,521740.0146788991,2040
2,1.75,1.0,0,5,700,47.408,269950,302896.7392857143,2470
4,2.5,2.0,0,9,2680,47.565,807100,859938.5542168674,2920
3,2.5,1.0,0,8,1610,47.7028,653000,521740.0146788991,3550
3,2.0,1.0,0,7,1370,47.7458,371500,387011.5902636917,1770
3,1.75,1.0,0,7,1560,47.4776,284000,464322.38976377953,1070
3,1.75,1.0,0,7,1670,47.3026,272000,286742.81162324647,2420
3,1.5,1.5,0,7,1340,47.7658,313000,387011.5902636917,1480
4,2.5,2.0,0,10,2570,47.6477,917500,803990.8194444445,5050
4,2.25,2.0,0,8,2590,47.5619,673000,859938.5542168674,2260
3,2.5,2.0,0,8,820,47.6106,425000,634558.1448275862,1890
5,2.75,1.0,0,7,1320,47.5868,399950,594706.5422740525,1930
3,1.0,1.0,0,6,1220,47.6101,385000,634558.1448275862,1200
3,1.5,1.0,2,7,1320,47.1976,269950,316742.3905579399,2580
2,1.0,1.0,0,7,1060,47.7224,330000,676419.3921568628,1830
3,2.5,2.0,0,7,1670,47.3505,260000,296187.98046875,1670
4,3.0,1.5,0,7,1680,47.5384,470000,424734.60451977403,2110
4,3.0,2.0,0,7,2440,47.7044,589000,521740.0146788991,2290
2,1.5,2.0,0,7,1050,47.3848,163500,367091.48387096776,1050
4,2.75,2.0,0,9,2140,47.6993,835000,645244.2264808363,3250
5,3.0,1.0,2,10,2090,47.6627,1100000,803990.8194444445,4540
4,1.75,1.0,0,8,1100,47.3099,269000,286742.81162324647,2580
3,2.5,2.0,0,8,1900,47.62,560000,685675.8435374149,2030
4,1.0,1.5,0,6,1330,47.65,615000,585048.7790697674,1330
3,2.25,1.0,0,8,1430,47.6647,585188,645244.2264808363,3030
3,1.75,1.0,0,7,1220,47.726,305000,521740.0146788991,1970
3,1.0,1.0,0,6,1190,47.4616,166950,353619.07472527475,1230
3,2.5,1.0,0,8,2140,47.5505,799000,1194873.6382978724,2680
3,2.5,1.0,0,7,1420,47.7606,400000,387011.5902636917,2660
3,1.0,1.0,0,7,1060,47.7481,230000,423736.9058295964,1570
3,2.5,2.0,0,8,1690,47.2779,256883,286742.81162324647,2550
4,2.0,1.5,0,7,1130,47.5511,423000,355678.51612903224,2340
3,2.5,2.0,0,8,2150,47.5488,465000,424734.60451977403,1750
3,2.5,2.0,0,7,1910,47.5385,440000,586120.875,2330
3,1.75,1.0,0,7,1350,47.4058,385000,367091.48387096776,1560
3,1.0,1.0,0,6,860,47.5093,210000,420895.47536945814,1300
3,2.5,2.0,0,8,1940,47.3777,297000,311580.33638025593,2030
3,1.0,1.0,0,7,1010,47.675,470000,579109.8082706766,1680
3,1.5,1.0,0,7,900,47.3025,226500,286742.81162324647,1830
3,1.0,1.0,0,6,910,47.4787,274250,493625.3098290598,1400
4,1.75,1.0,0,9,1630,47.5378,840000,1194873.6382978724,3620
3,2.5,2.0,0,8,2440,47.7073,677900,645244.2264808363,2750
3,1.0,1.0,0,7,1010,47.5733,425000,618695.1090909091,1290
2,0.75,1.0,0,6,900,47.4604,180250,464322.38976377953,1250
6,3.0,2.0,0,7,1600,47.7067,464000,387011.5902636917,2260
4,2.25,2.0,0,8,1550,47.354,320000,367091.48387096776,1630
3,2.25,2.0,0,8,1060,47.6647,625504,863228.9432314411,1370
4,2.5,1.0,0,9,2240,47.6143,592500,685675.8435374149,2520
3,2.5,2.0,0,9,2714,47.3185,465000,281194.8698060942,2590
4,2.75,2.0,0,8,1720,47.5458,477000,418019.36094674555,2130
2,1.0,1.0,0,6,850,47.4889,280000,240328.3717472119,1100
5,3.0,1.0,3,9,1870,47.5673,1510000,1194873.6382978724,5266
3,2.5,2.0,0,8,2250,47.5133,445838,359496.2604166667,1320
2,2.25,1.0,3,8,1950,47.5884,1070000,594706.5422740525,4530
2,1.5,1.0,0,8,1320,47.7145,467000,676419.3921568628,2120
4,2.5,2.0,0,10,2760,47.5836,686000,790734.704735376,3070
3,2.0,1.0,0,7,1350,47.398,279950,302896.7392857143,2300
4,2.25,2.0,0,8,2330,47.7663,527000,490377.1076923077,1910
3,2.25,1.0,0,8,1780,47.3758,325000,296187.98046875,2520
3,2.25,2.0,0,7,2020,47.3828,328000,367091.48387096776,2020
3,2.25,1.0,0,7,1250,47.5123,390000,359496.2604166667,1280
2,2.0,1.0,0,8,1510,47.7076,479950,677215.034739454,1640
4,2.25,1.0,0,7,1120,47.2922,264950,286742.81162324647,2110
3,1.0,1.0,0,7,980,47.4075,235000,300340.40293040295,2410
3,2.5,2.0,0,7,1480,47.6794,516500,677215.034739454,2250
2,1.75,2.0,4,7,1230,47.4497,655000,464322.38976377953,2250
4,2.75,1.0,0,7,2280,47.5218,500000,493625.3098290598,2280
6,2.75,1.0,0,8,1780,47.3103,315000,286742.81162324647,3280
2,1.0,1.0,0,6,1000,47.5687,213000,586120.875,1150
3,1.5,1.5,0,7,1620,47.5575,475000,355678.51612903224,2950
5,4.0,2.0,0,10,3760,47.6489,1030000,803990.8194444445,3430
3,2.0,1.0,0,7,1640,47.3459,416000,423665.99,2650
4,1.0,1.5,0,7,1670,47.6136,410000,634558.1448275862,1810
3,3.5,2.0,0,10,3530,47.7641,800000,682885.9898989899,3220
6,2.5,1.0,2,9,2350,47.3376,472000,294111.27857142856,4660
3,1.75,1.0,0,7,1430,47.3173,225000,294111.27857142856,1190
2,1.0,1.0,0,6,830,47.5308,210000,424734.60451977403,830
2,1.0,1.5,0,7,1430,47.6727,455000,619944.1492281304,1450
3,1.0,1.0,0,6,1300,47.3221,225000,234284.0351758794,1260
2,1.0,1.0,2,7,790,47.6779,480000,585048.7790697674,1630
3,2.5,2.0,0,9,2740,47.3076,363000,286742.81162324647,2570
4,2.5,1.0,4,9,1830,47.6338,2400000,685675.8435374149,4940
2,1.5,1.0,0,6,720,47.5218,181000,319581.3940298507,1150
4,2.0,1.0,0,7,2010,47.2785,250000,234284.0351758794,2010
3,1.75,1.0,0,6,770,47.6846,481000,585048.7790697674,2180
3,2.0,1.0,0,7,1240,47.3656,260000,251296.24,2320
4,2.5,2.0,0,9,3360,47.4369,455000,353619.07472527475,3060
3,2.25,2.0,0,8,1510,47.4616,415000,440232.31363636366,1730
3,1.0,1.0,0,7,800,47.5405,349500,418019.36094674555,2220
3,2.5,2.0,0,7,1730,47.3507,245000,296187.98046875,1630
2,2.0,1.5,2,7,1420,47.6979,592500,619944.1492281304,1420
4,1.75,1.0,0,7,1180,47.5278,385000,319581.3940298507,3090
3,1.75,1.0,0,7,1200,47.4756,315000,493625.3098290598,1930
3,1.0,1.0,0,7,1230,47.4437,255000,440232.31363636366,1380
4,2.5,2.0,0,8,2460,47.7048,693000,645244.2264808363,2990
3,1.0,1.5,0,8,1460,47.6362,780000,1096239.0074349442,1860
3,1.75,1.0,0,7,1270,47.4207,237000,302896.7392857143,1600
3,2.25,2.0,0,10,1320,47.6154,525000,685675.8435374149,3160
2,1.0,1.0,0,5,770,47.5964,425000,594706.5422740525,1330
1,0.75,1.0,4,5,760,47.4683,369900,489382.0170940171,1230
4,2.5,2.0,0,7,1700,47.4045,290000,300340.40293040295,1950
3,1.0,1.0,0,7,1120,47.5544,285000,319581.3940298507,1130
2,1.0,1.0,0,7,1070,47.6802,415000,619944.1492281304,1320
3,2.5,1.0,0,8,1420,47.2988,272500,286742.81162324647,2720
4,3.25,1.5,2,11,4750,47.6312,2900000,1356523.9905362776,4190
4,4.75,2.0,0,11,5310,47.7285,1370000,682885.9898989899,4180
2,1.0,1.0,0,7,1040,47.7107,436000,387011.5902636917,1440
3,1.0,1.0,0,7,1700,47.3271,210000,294111.27857142856,1350
3,1.0,1.0,0,7,1300,47.5053,236000,310612.75572519086,1320
3,1.75,1.0,0,7,580,47.6601,331000,792187.8738170346,1940
3,2.5,2.0,0,8,2653,47.4145,365000,300340.40293040295,2653
3,2.0,1.0,0,8,2290,47.4672,450000,353619.07472527475,1660
4,2.75,2.0,0,9,2850,47.7618,770000,462488.8692579505,2830
4,2.5,1.0,0,8,2210,47.3828,455000,367091.48387096776,2670
3,1.75,1.0,0,6,1240,47.5362,405000,418019.36094674555,3170
4,1.75,1.0,0,7,1610,47.3954,304900,300340.40293040295,2710
2,1.0,1.0,0,6,860,47.5048,170000,310612.75572519086,1650
5,3.0,2.0,1,9,2630,47.6166,2050000,634558.1448275862,4250
4,2.5,2.0,0,9,3500,47.6811,780000,677215.034739454,3920
3,3.0,1.0,0,8,1740,47.7486,330000,462488.8692579505,3250
4,2.5,2.0,0,9,2720,47.3846,370000,296187.98046875,2410
5,2.25,1.0,0,7,1850,47.7564,467000,570073.5201465201,2950
3,1.75,1.0,0,7,1140,47.7198,405000,521740.0146788991,2200
5,2.25,1.0,0,8,1450,47.5461,675000,859938.5542168674,3760
2,1.0,1.0,0,7,1140,47.5712,500000,859938.5542168674,2020
4,2.5,2.0,0,7,1890,47.4281,389999,464322.38976377953,2410
4,1.75,1.0,2,8,1780,47.7128,630000,521740.0146788991,3290
4,2.5,2.0,0,9,2160,47.3341,360000,281194.8698060942,2280
4,3.0,2.0,0,8,2270,47.5399,580000,420895.47536945814,3330
3,2.0,2.0,3,8,1270,47.5717,550000,424734.60451977403,3090
4,2.5,2.0,0,10,3360,47.5951,879000,790734.704735376,3150
3,2.0,1.0,0,7,1320,47.3536,265000,311580.33638025593,1740
3,2.5,2.0,0,8,2650,47.5084,446500,493625.3098290598,2400
3,1.5,1.0,0,7,1330,47.5586,404000,355678.51612903224,2840
3,1.75,1.0,2,7,1090,47.4427,267500,289078.3455882353,2130
4,5.0,1.0,4,10,2600,47.6053,3080000,685675.8435374149,6500
3,2.5,2.0,0,8,2440,47.3494,335000,294111.27857142856,2510
3,2.5,1.0,0,7,970,47.6933,576000,576834.808318264,3160
3,2.5,2.0,0,8,2040,47.3537,208633,367091.48387096776,2370
3,2.25,1.0,0,7,1120,47.476,315000,464322.38976377953,2540
3,1.75,1.0,0,8,960,47.6239,725000,1096239.0074349442,2700
4,2.75,1.0,0,8,1400,47.7776,550000,676419.3921568628,2200
4,2.25,2.0,0,8,2180,47.6459,610750,685675.8435374149,2250
2,1.0,1.5,0,6,1010,47.6692,550700,863228.9432314411,1460
4,2.75,2.0,0,8,2220,47.5376,665000,420895.47536945814,3820
4,2.5,1.5,2,8,1980,47.601,834000,594706.5422740525,2830
5,1.75,1.5,0,6,1660,47.529,201000,529629.7824675324,1660
5,2.5,2.0,4,10,3370,47.6345,2380000,849714.8097826086,3160
4,3.25,1.0,3,11,2690,47.5503,1380000,859938.5542168674,5460
4,3.25,1.0,3,11,2690,47.5503,1400000,859938.5542168674,5460
4,2.25,1.0,0,8,1350,47.4441,305000,353619.07472527475,2750
3,2.0,1.0,0,8,1720,47.7357,487000,387011.5902636917,2440
3,2.5,1.0,0,8,1930,47.346,390000,311580.33638025593,2350
2,1.0,1.0,0,7,1170,47.6638,548000,585048.7790697674,1870
4,1.0,1.0,0,6,800,47.48,268750,464322.38976377953,1310
5,2.75,2.0,0,9,3150,47.6759,819900,645244.2264808363,1560
3,2.25,2.0,0,8,2030,47.5162,520000,617053.9660194175,2660
3,2.0,1.0,0,7,1450,47.2639,230000,281194.8698060942,1520
3,1.75,1.0,0,7,1510,47.2929,240000,286742.81162324647,1510
2,1.0,1.0,0,6,960,47.4957,232000,359496.2604166667,2100
2,1.0,1.0,0,6,960,47.4957,240500,359496.2604166667,2100
3,2.5,2.0,0,9,3030,47.7721,274975,682885.9898989899,3080
4,2.0,1.5,0,9,2050,47.644,740000,899607.6730769231,2320
3,1.0,1.0,0,7,1000,47.472,186375,464322.38976377953,1150
3,2.25,1.0,0,9,1590,47.592,790000,810289.6964285715,3280
4,3.5,2.0,0,9,1890,47.669,880000,863228.9432314411,3280
6,1.75,2.0,0,7,2240,47.42,279000,302896.7392857143,1590
3,2.0,1.0,2,8,1810,47.1913,295000,316742.3905579399,1910
2,1.0,1.0,0,7,1070,47.6666,640000,585048.7790697674,1710
4,2.0,2.0,0,9,2490,47.5639,940000,1194873.6382978724,2770
4,2.5,2.0,0,7,1960,47.3483,260000,367091.48387096776,1800
3,2.75,1.0,0,9,1860,47.7648,559900,570073.5201465201,3650
4,2.0,1.5,0,7,1510,47.6794,791500,585048.7790697674,1820
3,1.75,1.0,0,7,1420,47.7535,265000,387011.5902636917,1740
3,1.75,1.0,0,7,1740,47.4945,245000,310612.75572519086,880
4,1.75,2.0,0,7,2560,47.6945,485000,645244.2264808363,2560
4,3.5,2.0,0,9,2420,47.5222,684000,493625.3098290598,4090
3,1.75,1.0,0,8,1300,47.7222,425000,469928.76772616134,2780
4,1.75,1.0,0,6,1275,47.3796,309600,489382.0170940171,1660
4,2.5,2.0,0,8,2580,47.5374,552250,529629.7824675324,2380
4,1.0,1.0,0,6,1000,47.4897,165000,310612.75572519086,1020
4,1.0,1.0,0,6,1000,47.4897,239900,310612.75572519086,1020
2,1.0,1.0,0,6,1070,47.4716,320000,493625.3098290598,1360
3,2.0,1.0,0,7,1390,47.3581,206600,296187.98046875,1720
4,1.75,1.0,0,7,1250,47.7713,387000,423736.9058295964,3290
1,0.75,1.0,0,4,560,47.675,299000,455617.1129032258,1300
4,2.75,2.0,0,9,2270,47.5603,855000,1194873.6382978724,2610
3,1.0,1.0,0,7,1300,47.4147,315000,464322.38976377953,2540
2,1.0,1.0,2,7,790,47.68,437500,585048.7790697674,2130
4,1.5,1.0,0,7,1050,47.3117,252000,281194.8698060942,2140
4,1.75,1.0,0,7,1100,47.543,375000,418019.36094674555,2700
4,2.5,2.0,0,7,1910,47.3607,300000,367091.48387096776,2010
4,1.0,1.5,0,7,1750,47.5759,420000,859938.5542168674,1750
3,1.0,1.0,0,7,1330,47.6891,900000,803990.8194444445,1340
3,2.5,2.0,2,9,1980,47.565,679900,618695.1090909091,1980
3,2.5,2.0,0,7,1640,47.6359,463000,677215.034739454,1580
5,2.5,2.0,0,9,2760,47.4769,380000,493625.3098290598,2470
4,2.5,2.0,0,7,1820,47.3845,329500,367091.48387096776,1820
3,2.5,1.0,0,8,1340,47.6743,604950,803990.8194444445,2810
5,2.5,1.0,2,8,1640,47.5651,795000,859938.5542168674,4320
3,2.0,2.0,0,7,1840,47.4853,465000,440232.31363636366,1380
4,2.5,2.0,0,9,2990,47.4508,673000,464322.38976377953,2140
4,2.5,2.0,0,10,3520,47.6375,810000,685675.8435374149,3400
4,2.75,1.0,0,8,1910,47.5944,785000,790734.704735376,3300
4,3.0,1.0,0,7,1370,47.4888,338000,420895.47536945814,2530
3,2.25,2.0,0,7,1430,47.5112,280000,420895.47536945814,1430
4,2.25,1.0,0,7,1100,47.7711,315000,387011.5902636917,2890
4,2.25,1.0,0,7,1100,47.7711,530000,387011.5902636917,2890
5,3.0,2.0,0,9,3450,47.2813,380000,286742.81162324647,2860
3,2.25,2.0,0,7,1450,47.5038,297000,420895.47536945814,1650
4,2.5,2.0,0,10,3230,47.5823,730000,790734.704735376,3480
3,1.75,1.0,0,7,1110,47.7164,450000,469928.76772616134,2300
3,3.0,1.0,0,7,1060,47.3624,275000,367091.48387096776,2210
4,2.0,2.0,0,7,2020,47.6831,595000,619944.1492281304,1910
3,1.5,1.5,0,7,1300,47.592,435000,594706.5422740525,1590
2,1.5,1.0,0,6,1380,47.7461,270000,490377.1076923077,3130
3,3.0,2.0,0,10,3030,47.7268,950000,682885.9898989899,4370
4,2.25,2.0,0,7,2130,47.7237,389000,424815.06315789477,2300
4,2.25,1.0,0,8,1580,47.6283,560000,645244.2264808363,3390
5,3.5,2.0,2,11,3480,47.5543,1350000,859938.5542168674,5370
4,2.25,2.0,0,8,2510,47.5483,799000,1194873.6382978724,2450
3,2.0,1.0,0,7,1410,47.7591,365500,570073.5201465201,1410
3,2.0,1.0,0,7,1160,47.4612,252350,353619.07472527475,2200
4,2.5,2.0,0,8,2120,47.4987,403950,359496.2604166667,1880
