bedrooms,bathrooms,floors,waterfront,view,grade,sqft_above,lat,price,sqft_total
4,3.5,3.0,0,0,9,2140,47.6734,675000,1540
3,1.75,1.0,0,0,7,1320,47.3257,199000,1550
4,1.75,1.0,0,0,7,1010,47.3309,220000,2760
4,2.25,1.0,0,0,8,1340,47.7689,452000,2800
2,1.0,1.0,0,0,6,1190,47.7135,382500,1060
3,2.25,3.0,0,0,8,1170,47.6722,519950,1350
2,1.0,1.0,0,0,7,1110,47.6338,665000,1170
5,2.5,1.0,0,0,8,1550,47.5707,527700,4090
3,1.0,1.0,0,0,7,1010,47.4563,205000,2210
3,1.0,1.0,0,0,7,940,47.7144,420000,1680
4,2.25,1.0,0,0,8,1380,47.5495,500000,2880
4,2.5,2.0,0,0,9,3670,47.7421,921500,2840
4,1.0,2.0,0,0,8,2370,47.6354,890000,2380
2,2.5,2.0,0,0,7,2420,47.5262,430000,1940
5,2.0,1.0,0,0,8,1130,47.3887,258000,2490
3,1.0,1.0,0,0,7,980,47.6873,511000,1900
3,2.0,2.0,0,0,8,1360,47.6838,532170,1500
3,1.0,1.5,0,0,7,1110,47.655,560000,1420
3,1.0,1.0,0,0,7,1250,47.3255,282950,1680
4,3.25,2.0,0,3,12,3540,47.562,2250000,4800
1,1.0,1.0,0,0,7,700,47.679,350000,1010
3,1.0,1.0,0,0,7,1180,47.4479,215000,1190
5,3.5,2.0,0,0,9,2500,47.525,650000,4100
4,2.75,1.0,0,0,8,1620,47.3135,320000,3000
3,2.0,1.5,0,0,7,1270,47.2086,247000,1160
4,1.75,1.0,0,0,8,1760,47.4715,320000,1730
5,2.25,1.0,0,0,7,1030,47.4877,255000,2040
3,1.75,1.0,0,0,7,1780,47.7171,438000,1200
3,2.5,2.0,0,0,10,3400,47.6012,900000,3400
3,2.75,1.0,0,0,7,1160,47.7319,441000,2460
3,2.0,1.0,0,0,7,1010,47.4582,420000,3120
3,1.75,1.0,0,0,7,1180,47.7209,370000,2040
2,1.75,1.0,0,0,5,700,47.408,269950,2470
4,2.5,2.0,0,0,9,2680,47.565,807100,2920
3,2.5,1.0,0,0,8,1610,47.7028,653000,3550
3,2.0,1.0,0,0,7,1370,47.7458,371500,1770
3,1.75,1.0,0,0,7,1560,47.4776,284000,1070
3,1.75,1.0,0,0,7,1670,47.3026,272000,2420
3,1.5,1.5,0,0,7,1340,47.7658,313000,1480
4,2.5,2.0,0,0,10,2570,47.6477,917500,5050
4,2.25,2.0,0,0,8,2590,47.5619,673000,2260
3,2.5,2.0,0,0,8,820,47.6106,425000,1890
5,2.75,1.0,0,0,7,1320,47.5868,399950,1930
3,1.0,1.0,0,0,6,1220,47.6101,385000,1200
3,1.5,1.0,0,2,7,1320,47.1976,269950,2580
2,1.0,1.0,0,0,7,1060,47.7224,330000,1830
3,2.5,2.0,0,0,7,1670,47.3505,260000,1670
4,3.0,1.5,0,0,7,1680,47.5384,470000,2110
4,3.0,2.0,0,0,7,2440,47.7044,589000,2290
2,1.5,2.0,0,0,7,1050,47.3848,163500,1050
4,2.75,2.0,0,0,9,2140,47.6993,835000,3250
5,3.0,1.0,0,2,10,2090,47.6627,1100000,4540
4,1.75,1.0,0,0,8,1100,47.3099,269000,2580
3,2.5,2.0,0,0,8,1900,47.62,560000,2030
4,1.0,1.5,0,0,6,1330,47.65,615000,1330
3,2.25,1.0,0,0,8,1430,47.6647,585188,3030
3,1.75,1.0,0,0,7,1220,47.726,305000,1970
3,1.0,1.0,0,0,6,1190,47.4616,166950,1230
3,2.5,1.0,0,0,8,2140,47.5505,799000,2680
3,2.5,1.0,0,0,7,1420,47.7606,400000,2660
3,1.0,1.0,0,0,7,1060,47.7481,230000,1570
3,2.5,2.0,0,0,8,1690,47.2779,256883,2550
4,2.0,1.5,0,0,7,1130,47.5511,423000,2340
3,2.5,2.0,0,0,8,2150,47.5488,465000,1750
3,2.5,2.0,0,0,7,1910,47.5385,440000,2330
3,1.75,1.0,0,0,7,1350,47.4058,385000,1560
3,1.0,1.0,0,0,6,860,47.5093,210000,1300
3,2.5,2.0,0,0,8,1940,47.3777,297000,2030
3,1.0,1.0,0,0,7,1010,47.675,470000,1680
3,1.5,1.0,0,0,7,900,47.3025,226500,1830
3,1.0,1.0,0,0,6,910,47.4787,274250,1400
4,1.75,1.0,0,0,9,1630,47.5378,840000,3620
3,2.5,2.0,0,0,8,2440,47.7073,677900,2750
3,1.0,1.0,0,0,7,1010,47.5733,425000,1290
2,0.75,1.0,0,0,6,900,47.4604,180250,1250
6,3.0,2.0,0,0,7,1600,47.7067,464000,2260
4,2.25,2.0,0,0,8,1550,47.354,320000,1630
3,2.25,2.0,0,0,8,1060,47.6647,625504,1370
4,2.5,1.0,0,0,9,2240,47.6143,592500,2520
3,2.5,2.0,0,0,9,2714,47.3185,465000,2590
4,2.75,2.0,0,0,8,1720,47.5458,477000,2130
2,1.0,1.0,0,0,6,850,47.4889,280000,1100
5,3.0,1.0,0,3,9,1870,47.5673,1510000,5266
3,2.5,2.0,0,0,8,2250,47.5133,445838,1320
2,2.25,1.0,0,3,8,1950,47.5884,1070000,4530
2,1.5,1.0,0,0,8,1320,47.7145,467000,2120
4,2.5,2.0,0,0,10,2760,47.5836,686000,3070
3,2.0,1.0,0,0,7,1350,47.398,279950,2300
4,2.25,2.0,0,0,8,2330,47.7663,527000,1910
3,2.25,1.0,0,0,8,1780,47.3758,325000,2520
3,2.25,2.0,0,0,7,2020,47.3828,328000,2020
3,2.25,1.0,0,0,7,1250,47.5123,390000,1280
2,2.0,1.0,0,0,8,1510,47.7076,479950,1640
4,2.25,1.0,0,0,7,1120,47.2922,264950,2110
3,1.0,1.0,0,0,7,980,47.4075,235000,2410
3,2.5,2.0,0,0,7,1480,47.6794,516500,2250
2,1.75,2.0,1,4,7,1230,47.4497,655000,2250
4,2.75,1.0,0,0,7,2280,47.5218,500000,2280
6,2.75,1.0,0,0,8,1780,47.3103,315000,3280
2,1.0,1.0,0,0,6,1000,47.5687,213000,1150
3,1.5,1.5,0,0,7,1620,47.5575,475000,2950
5,4.0,2.0,0,0,10,3760,47.6489,1030000,3430
3,2.0,1.0,0,0,7,1640,47.3459,416000,2650
4,1.0,1.5,0,0,7,1670,47.6136,410000,1810
3,3.5,2.0,0,0,10,3530,47.7641,800000,3220
6,2.5,1.0,0,2,9,2350,47.3376,472000,4660
3,1.75,1.0,0,0,7,1430,47.3173,225000,1190
2,1.0,1.0,0,0,6,830,47.5308,210000,830
2,1.0,1.5,0,0,7,1430,47.6727,455000,1450
3,1.0,1.0,0,0,6,1300,47.3221,225000,1260
2,1.0,1.0,0,2,7,790,47.6779,480000,1630
3,2.5,2.0,0,0,9,2740,47.3076,363000,2570
4,2.5,1.0,1,4,9,1830,47.6338,2400000,4940
2,1.5,1.0,0,0,6,720,47.5218,181000,1150
4,2.0,1.0,0,0,7,2010,47.2785,250000,2010
3,1.75,1.0,0,0,6,770,47.6846,481000,2180
3,2.0,1.0,0,0,7,1240,47.3656,260000,2320
4,2.5,2.0,0,0,9,3360,47.4369,455000,3060
3,2.25,2.0,0,0,8,1510,47.4616,415000,1730
3,1.0,1.0,0,0,7,800,47.5405,349500,2220
3,2.5,2.0,0,0,7,1730,47.3507,245000,1630
2,2.0,1.5,0,2,7,1420,47.6979,592500,1420
4,1.75,1.0,0,0,7,1180,47.5278,385000,3090
3,1.75,1.0,0,0,7,1200,47.4756,315000,1930
3,1.0,1.0,0,0,7,1230,47.4437,255000,1380
4,2.5,2.0,0,0,8,2460,47.7048,693000,2990
3,1.0,1.5,0,0,8,1460,47.6362,780000,1860
3,1.75,1.0,0,0,7,1270,47.4207,237000,1600
3,2.25,2.0,0,0,10,1320,47.6154,525000,3160
2,1.0,1.0,0,0,5,770,47.5964,425000,1330
1,0.75,1.0,1,4,5,760,47.4683,369900,1230
4,2.5,2.0,0,0,7,1700,47.4045,290000,1950
3,1.0,1.0,0,0,7,1120,47.5544,285000,1130
2,1.0,1.0,0,0,7,1070,47.6802,415000,1320
3,2.5,1.0,0,0,8,1420,47.2988,272500,2720
4,3.25,1.5,0,2,11,4750,47.6312,2900000,4190
4,4.75,2.0,0,0,11,5310,47.7285,1370000,4180
2,1.0,1.0,0,0,7,1040,47.7107,436000,1440
3,1.0,1.0,0,0,7,1700,47.3271,210000,1350
3,1.0,1.0,0,0,7,1300,47.5053,236000,1320
3,1.75,1.0,0,0,7,580,47.6601,331000,1940
3,2.5,2.0,0,0,8,2653,47.4145,365000,2653
3,2.0,1.0,0,0,8,2290,47.4672,450000,1660
4,2.75,2.0,0,0,9,2850,47.7618,770000,2830
4,2.5,1.0,0,0,8,2210,47.3828,455000,2670
3,1.75,1.0,0,0,6,1240,47.5362,405000,3170
4,1.75,1.0,0,0,7,1610,47.3954,304900,2710
2,1.0,1.0,0,0,6,860,47.5048,170000,1650
5,3.0,2.0,0,1,9,2630,47.6166,2050000,4250
4,2.5,2.0,0,0,9,3500,47.6811,780000,3920
3,3.0,1.0,0,0,8,1740,47.7486,330000,3250
4,2.5,2.0,0,0,9,2720,47.3846,370000,2410
5,2.25,1.0,0,0,7,1850,47.7564,467000,2950
3,1.75,1.0,0,0,7,1140,47.7198,405000,2200
5,2.25,1.0,0,0,8,1450,47.5461,675000,3760
2,1.0,1.0,0,0,7,1140,47.5712,500000,2020
4,2.5,2.0,0,0,7,1890,47.4281,389999,2410
4,1.75,1.0,0,2,8,1780,47.7128,630000,3290
4,2.5,2.0,0,0,9,2160,47.3341,360000,2280
4,3.0,2.0,0,0,8,2270,47.5399,580000,3330
3,2.0,2.0,0,3,8,1270,47.5717,550000,3090
4,2.5,2.0,0,0,10,3360,47.5951,879000,3150
3,2.0,1.0,0,0,7,1320,47.3536,265000,1740
3,2.5,2.0,0,0,8,2650,47.5084,446500,2400
3,1.5,1.0,0,0,7,1330,47.5586,404000,2840
3,1.75,1.0,0,2,7,1090,47.4427,267500,2130
4,5.0,1.0,1,4,10,2600,47.6053,3080000,6500
3,2.5,2.0,0,0,8,2440,47.3494,335000,2510
3,2.5,1.0,0,0,7,970,47.6933,576000,3160
3,2.5,2.0,0,0,8,2040,47.3537,208633,2370
3,2.25,1.0,0,0,7,1120,47.476,315000,2540
3,1.75,1.0,0,0,8,960,47.6239,725000,2700
4,2.75,1.0,0,0,8,1400,47.7776,550000,2200
4,2.25,2.0,0,0,8,2180,47.6459,610750,2250
2,1.0,1.5,0,0,6,1010,47.6692,550700,1460
4,2.75,2.0,0,0,8,2220,47.5376,665000,3820
4,2.5,1.5,0,2,8,1980,47.601,834000,2830
5,1.75,1.5,0,0,6,1660,47.529,201000,1660
5,2.5,2.0,0,4,10,3370,47.6345,2380000,3160
4,3.25,1.0,0,3,11,2690,47.5503,1380000,5460
4,3.25,1.0,0,3,11,2690,47.5503,1400000,5460
4,2.25,1.0,0,0,8,1350,47.4441,305000,2750
3,2.0,1.0,0,0,8,1720,47.7357,487000,2440
3,2.5,1.0,0,0,8,1930,47.346,390000,2350
2,1.0,1.0,0,0,7,1170,47.6638,548000,1870
4,1.0,1.0,0,0,6,800,47.48,268750,1310
5,2.75,2.0,0,0,9,3150,47.6759,819900,1560
3,2.25,2.0,0,0,8,2030,47.5162,520000,2660
3,2.0,1.0,0,0,7,1450,47.2639,230000,1520
3,1.75,1.0,0,0,7,1510,47.2929,240000,1510
2,1.0,1.0,0,0,6,960,47.4957,232000,2100
2,1.0,1.0,0,0,6,960,47.4957,240500,2100
3,2.5,2.0,0,0,9,3030,47.7721,274975,3080
4,2.0,1.5,0,0,9,2050,47.644,740000,2320
3,1.0,1.0,0,0,7,1000,47.472,186375,1150
3,2.25,1.0,0,0,9,1590,47.592,790000,3280
4,3.5,2.0,0,0,9,1890,47.669,880000,3280
6,1.75,2.0,0,0,7,2240,47.42,279000,1590
3,2.0,1.0,0,2,8,1810,47.1913,295000,1910
2,1.0,1.0,0,0,7,1070,47.6666,640000,1710
4,2.0,2.0,0,0,9,2490,47.5639,940000,2770
4,2.5,2.0,0,0,7,1960,47.3483,260000,1800
3,2.75,1.0,0,0,9,1860,47.7648,559900,3650
4,2.0,1.5,0,0,7,1510,47.6794,791500,1820
3,1.75,1.0,0,0,7,1420,47.7535,265000,1740
3,1.75,1.0,0,0,7,1740,47.4945,245000,880
4,1.75,2.0,0,0,7,2560,47.6945,485000,2560
4,3.5,2.0,0,0,9,2420,47.5222,684000,4090
3,1.75,1.0,0,0,8,1300,47.7222,425000,2780
4,1.75,1.0,0,0,6,1275,47.3796,309600,1660
4,2.5,2.0,0,0,8,2580,47.5374,552250,2380
4,1.0,1.0,0,0,6,1000,47.4897,165000,1020
4,1.0,1.0,0,0,6,1000,47.4897,239900,1020
2,1.0,1.0,0,0,6,1070,47.4716,320000,1360
3,2.0,1.0,0,0,7,1390,47.3581,206600,1720
4,1.75,1.0,0,0,7,1250,47.7713,387000,3290
1,0.75,1.0,0,0,4,560,47.675,299000,1300
4,2.75,2.0,0,0,9,2270,47.5603,855000,2610
3,1.0,1.0,0,0,7,1300,47.4147,315000,2540
2,1.0,1.0,0,2,7,790,47.68,437500,2130
4,1.5,1.0,0,0,7,1050,47.3117,252000,2140
4,1.75,1.0,0,0,7,1100,47.543,375000,2700
4,2.5,2.0,0,0,7,1910,47.3607,300000,2010
4,1.0,1.5,0,0,7,1750,47.5759,420000,1750
3,1.0,1.0,0,0,7,1330,47.6891,900000,1340
3,2.5,2.0,0,2,9,1980,47.565,679900,1980
3,2.5,2.0,0,0,7,1640,47.6359,463000,1580
5,2.5,2.0,0,0,9,2760,47.4769,380000,2470
4,2.5,2.0,0,0,7,1820,47.3845,329500,1820
3,2.5,1.0,0,0,8,1340,47.6743,604950,2810
5,2.5,1.0,0,2,8,1640,47.5651,795000,4320
3,2.0,2.0,0,0,7,1840,47.4853,465000,1380
4,2.5,2.0,0,0,9,2990,47.4508,673000,2140
4,2.5,2.0,0,0,10,3520,47.6375,810000,3400
4,2.75,1.0,0,0,8,1910,47.5944,785000,3300
4,3.0,1.0,0,0,7,1370,47.4888,338000,2530
3,2.25,2.0,0,0,7,1430,47.5112,280000,1430
4,2.25,1.0,0,0,7,1100,47.7711,315000,2890
4,2.25,1.0,0,0,7,1100,47.7711,530000,2890
5,3.0,2.0,0,0,9,3450,47.2813,380000,2860
3,2.25,2.0,0,0,7,1450,47.5038,297000,1650
4,2.5,2.0,0,0,10,3230,47.5823,730000,3480
3,1.75,1.0,0,0,7,1110,47.7164,450000,2300
3,3.0,1.0,0,0,7,1060,47.3624,275000,2210
4,2.0,2.0,0,0,7,2020,47.6831,595000,1910
3,1.5,1.5,0,0,7,1300,47.592,435000,1590
2,1.5,1.0,0,0,6,1380,47.7461,270000,3130
3,3.0,2.0,0,0,10,3030,47.7268,950000,4370
4,2.25,2.0,0,0,7,2130,47.7237,389000,2300
4,2.25,1.0,0,0,8,1580,47.6283,560000,3390
5,3.5,2.0,0,2,11,3480,47.5543,1350000,5370
4,2.25,2.0,0,0,8,2510,47.5483,799000,2450
3,2.0,1.0,0,0,7,1410,47.7591,365500,1410
3,2.0,1.0,0,0,7,1160,47.4612,252350,2200
4,2.5,2.0,0,0,8,2120,47.4987,403950,1880
4,1.5,1.0,0,0,7,1380,47.772,385000,2270
4,1.0,1.5,0,0,7,1550,47.5287,345000,1450
3,2.75,2.0,0,0,9,1980,47.6109,490000,1950
3,2.5,2.0,0,0,8,1600,47.7736,330000,1790
4,2.75,2.0,0,0,8,3300,47.6294,927000,3180
4,2.5,2.0,0,1,10,3840,47.5634,1120000,3600
2,1.0,1.0,0,0,7,1220,47.7405,330000,2000
5,2.25,1.0,0,0,7,1500,47.5976,530000,3330
4,2.0,1.0,0,0,8,1940,47.5722,365000,2000
3,2.5,1.5,0,0,7,1260,47.5644,378750,1960
4,1.75,1.5,0,0,7,1530,47.4556,269900,1390
3,3.5,2.0,0,0,8,1290,47.6055,557000,2050
4,1.75,1.0,0,0,7,2150,47.1775,360000,3460
2,1.0,1.0,0,0,7,940,47.6879,352000,1560
3,2.5,2.0,0,0,8,1750,47.4807,437000,2430
4,2.5,2.0,0,0,7,1820,47.3845,322500,1820
3,3.25,2.0,0,0,9,1330,47.5815,650000,1690
3,2.0,3.0,0,0,8,1290,47.6609,450000,1290
3,2.0,1.0,0,0,7,1570,47.3163,278500,1570
4,2.5,2.0,0,0,8,1930,47.4309,364950,2090
4,3.5,1.0,0,4,10,2840,47.401,840000,3180
3,2.5,2.0,0,0,7,1550,47.404,268000,1550
2,1.0,1.0,0,0,5,833,47.3889,517534,1380
3,2.5,2.0,0,0,8,2990,47.7718,632925,2990
3,2.5,2.0,0,0,9,2000,47.7067,577500,2450
4,1.5,1.5,0,2,7,2390,47.504,339000,2850
3,1.75,1.0,0,0,7,1530,47.7015,570000,3900
4,1.75,1.0,0,0,7,1610,47.5753,563500,3165
4,2.25,1.0,0,0,7,1290,47.7448,423000,2820
3,2.25,2.0,0,0,8,1860,47.7318,355000,2320
5,4.25,2.0,0,0,12,6070,47.5954,1550000,4680
2,1.0,1.0,0,0,7,950,47.6885,482000,1320
3,1.75,1.0,0,0,7,1600,47.5724,625000,1580
3,2.5,2.0,0,0,8,2250,47.5272,538000,2360
3,2.5,2.0,0,0,8,2280,47.4334,380000,2310
2,1.0,1.0,0,0,7,940,47.6073,375000,1300
3,2.5,1.0,0,0,7,1030,47.3592,245000,2350
5,1.75,1.0,0,0,7,2190,47.4546,310000,1620
3,2.0,1.0,0,0,8,1770,47.6408,1300000,4110
4,2.0,1.0,0,0,7,1200,47.7245,397000,1700
3,2.5,2.0,0,0,8,2200,47.4362,365000,2310
4,3.0,2.0,0,0,9,2290,47.3739,328500,2290
4,3.0,2.0,0,0,11,4040,47.7205,988000,3930
4,2.5,1.5,0,0,8,1920,47.6636,1000000,2500
3,2.5,2.0,0,0,7,1490,47.4324,237000,1490
4,2.5,2.0,0,0,8,2450,47.7734,525000,2300
4,2.5,1.0,0,0,9,1440,47.559,749000,2410
5,2.5,2.0,0,0,10,3470,47.633,722500,4580
3,2.5,2.0,0,0,10,3130,47.6954,843000,2860
2,2.0,3.0,0,0,8,1270,47.6776,438000,1610
3,1.75,1.0,0,2,8,1540,47.504,578000,3040
3,1.5,1.0,0,0,7,1670,47.2613,227950,2077
3,2.25,2.0,0,0,7,2070,47.3417,196000,1890
2,1.0,1.0,0,0,8,1070,47.6694,641000,2750
3,1.5,1.0,0,0,6,1250,47.4056,350000,1930
3,1.0,1.0,0,0,7,940,47.3838,205000,1150
3,1.75,1.0,0,0,7,1920,47.7487,400000,1920
3,2.5,1.0,0,0,10,2610,47.5534,1030000,4565
3,2.0,1.0,0,0,7,1260,47.7355,505000,1510
5,2.5,1.0,0,0,7,1300,47.7206,475000,2970
3,2.25,1.0,0,0,8,1440,47.7691,520000,3730
3,4.5,2.0,0,2,10,3260,47.7183,1450000,3320
3,1.75,1.0,0,0,7,1220,47.7736,333500,1630
3,1.0,1.0,0,0,6,1400,47.362,232000,1230
3,2.75,1.0,0,0,8,1710,47.5698,691100,2770
3,1.75,1.0,0,0,8,1870,47.5505,811000,1900
3,2.5,2.0,0,0,9,2830,47.7605,551000,2500
3,2.5,2.0,0,0,8,2260,47.7356,496500,2350
3,3.0,2.0,1,3,9,1770,47.3844,705000,2480
4,2.5,1.0,0,2,9,1770,47.4904,578000,3830
3,1.75,1.0,0,0,7,1240,47.3663,255000,1490
4,3.5,2.0,0,0,10,3450,47.5637,1050000,3220
3,2.25,2.0,0,0,8,2570,47.3759,348000,2400
3,2.0,2.0,0,0,7,1510,47.3912,230000,1570
4,2.25,2.0,0,0,9,2390,47.3305,359500,2480
3,1.0,1.0,0,0,6,980,47.7617,330000,1220
1,0.75,1.0,0,0,4,430,47.6499,80000,1200
